mandataire2,mandataire,lease_rsf,annual_rent,state_category,type1,budget2014,budget2014,budget2013,budget2012,evol,rent_prsf,remaining_term_years
Direction cohésion sociale et solidarité,Genève se livre,9100,"$2,977,689",Culture et sport,4,9100,9100,9100,9100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction de la culture et du sport,Soutien aux clubs de Triathlon,8200,"$1,502,020",Culture et sport,4,8200,8200,8200,8200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Unihockey,8200,"$1,392,000",Culture et sport,4,8200,8200,8200,8200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Liederkranz-Concordia,7200,"$12,306,065",Culture et sport,4,7200,7200,7200,7200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Autrement Aujourd'hui,6900,"$4,212,936",Culture et sport,4,6900,6900,6900,6900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Société chorale des Eaux-Vives,5200,"$2,160,299",Culture et sport,4,5200,5200,5200,5200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Soutien aux clubs d'Escrime,5200,"$835,658",Culture et sport,4,5200,5200,5200,5200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Tournoi de football des Schtroumpfs,5200,"$2,564,648",Culture et sport,4,5200,5200,5200,5200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Soutien aux clubs de Boxe,3700,"$3,379,131",Culture et sport,4,3700,3700,3700,3700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Lutte,3700,"$1,791,750",Culture et sport,4,3700,3700,3700,3700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Union des Chanteurs genevois,3100,"$2,554,705",Culture et sport,4,3100,3100,3100,3100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Boules ferrées,2800,"$1,673,953",Culture et sport,4,2800,2800,2800,2800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Soutien aux clubs de Tir sportif,2800,"$1,119,495",Culture et sport,4,2800,2800,2800,2800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Soutien aux clubs de Pétanque,1900,"$2,221,453",Culture et sport,4,1900,1900,1900,1900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Soutien aux clubs de Tir à l'arc,1900,"$9,646,686",Culture et sport,4,1900,1900,1900,1900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,"Société accordéoniste mixte ""Les Amis""",1500,"$4,902,503",Culture et sport,4,1500,1500,1500,1500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction de la culture et du sport,Soutien aux clubs de Twirling,1400,"$3,378,332",Culture et sport,4,1400,1400,1400,1400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Ecoles et institutions pour l'enfance,Soutien aux clubs de Vol libre,1400,"$2,823,170",Culture et sport,4,1400,1400,1400,1400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Incendie et secours,Prix d'orgue P. Segond,1000,"$470,533",Culture et sport,4,1000,1000,1000,1000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Soutien aux clubs de Marche,1000,"$4,157,479",Culture et sport,4,1000,1000,1000,1000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction des constructions et de l'aménagement,Fonds promotion de la relève,600000,"$1,861,000",Culture et sport,4,600000,600000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,Fonds-aide à l'organisation de manifestations et/ou projets sportifs,530000,"$1,975,335",Culture et sport,4,530000,530000,330000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Direction sociale,Association - Festival Archipel,300000,"$9,362,324",Culture et sport,4,300000,300000,300000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Délégation Généve Solidaire,Festival international du film sur les droits humains,125000,"$1,325,630",Culture et sport,4,125000,125000,125000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Direction cohésion sociale et solidarité,Fonds général projet culturel d'agglomération ,100000,"$5,198,146",Culture et sport,4,100000,100000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Direction cohésion sociale et solidarité,Geneva Open -Tournois de tennis,100000,"$2,422,959",Culture et sport,4,100000,100000,100000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service culturel,Maison de Rousseau et de la littérature,81500,"$2,510,081",Culture et sport,4,81500,81500,81500,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service culturel,Cérémonie des Quartz,62500,"$3,155,288",Culture et sport,4,62500,62500,62500,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service des sports,Fonds-élite ,62000,"$10,008,840",Culture et sport,4,62000,62000,35000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,Association Genevoise des Musiciens de Jazz ,61900,"$1,159,438",Culture et sport,4,61900,61900,61900,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Relations extérieures,Fonds-soutien au sport handicap,45000,"$2,073,076",Culture et sport,4,45000,45000,60000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,1
Service culturel,Bourses artistes confirmés (AC),35000,"$3,027,298",Culture et sport,4,35000,35000,35000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Direction cohésion sociale et solidarité,Championnats Internationaux de Natation de Genève - Genève Natation 1885,35000,"$5,414,459",Culture et sport,4,35000,35000,35000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Direction cohésion sociale et solidarité,Fanfare du Losange,25800,"$10,600,245",Culture et sport,4,25800,25800,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Direction cohésion sociale et solidarité,Club d'échecs de Genève,22700,"$1,503,559",Culture et sport,4,22700,22700,22700,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service des sports,Bourses médiateurs culturels (AC),15000,"$7,724,924",Culture et sport,4,15000,15000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service des sports,Promotion de la recherche scientifique,10000,"$4,122,415",Culture et sport,4,10000,10000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Délégation Généve Solidaire,Centre suisse de recherches scientifiques à Abidjan,5200,"$6,445,262",Culture et sport,4,5200,5200,5200,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service culturel,Académie internationale de la céramique,4600,"$14,516,075",Culture et sport,4,4600,4600,4600,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Conseil administratif,Association la libellule,51500,"$2,876,299",Environnement urbain et sécurité,5,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Société Genevoise d'Horticulture - concours international de roses nouvelles de Genève,30000,"$1,941,873",Environnement urbain et sécurité,5,30000,30000,30000,30000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association pour la sauvegarde du Léman,15500,"$2,614,355",Environnement urbain et sécurité,5,15500,15500,15500,15500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Incendie et secours,Soutien actions s/espace public - culture,15000,"$8,059,430",Environnement urbain et sécurité,5,15000,15000,15000,15000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,3
Direction des constructions et de l'aménagement,Soutien actions s/espace public - social,15000,"$4,858,368",Environnement urbain et sécurité,5,15000,15000,15000,15000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,1
Service des sports,Société internationale de sauvetage du Léman,12000,"$4,748,663",Environnement urbain et sécurité,5,12000,12000,12000,12000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Association pour la formation de jeunes sapeurs-pompiers,10300,"$2,036,501",Environnement urbain et sécurité,5,10300,10300,10300,10300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,REDOG - Société suisse pour chiens de recherche et de sauvetage,5000,"$1,246,741",Environnement urbain et sécurité,5,5000,5000,5000,5000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction des constructions et de l'aménagement,Solidarité internationale,3406500,"$2,175,375",Finances et logement,6,3406500,3406500,3455000,"2866555,73","<font size=""4"" style=""color:#7797a3"">▲</font> + 18,8 %",3,1
Service culturel,Subventions accordées à des institutions privées,410000,"$1,127,910",Finances et logement,6,410000,410000,290000,"286586,65","<font size=""4"" style=""color:#7797a3"">▲</font> + 43 %",3,3
Direction des constructions et de l'aménagement,La Ville est à vous,190700,"$1,022,505",Finances et logement,6,190700,190700,190700,189400,"<font size=""4"" style=""color:#7797a3"">▲</font> + 0,6 %",3,2
Direction cohésion sociale et solidarité,Chômage - économie sociale et solidaire,4000000,"$13,408,867",Finances et logement,6,4000000,4000000,1,5500000,"<font size=""4"" style=""color:#d7191c"">▼</font> -27,2 %",1,3
Service culturel,Aide personnalisée,500000,"$2,814,505",Finances et logement,6,500000,500000,500000,"828760,5","<font size=""4"" style=""color:#d7191c"">▼</font> -39,6 %",1,2
Ecoles et institutions pour l'enfance,Institutions genevoises d'aide au développement,1585000,"$2,341,229",Finances et logement,6,1585000,1585000,1585000,1585000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Après - Projet incubateur ESS,350000,"$1,958,695",Finances et logement,6,350000,350000,350000,350000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Oeuvre suisse d'entraide ouvrière,154600,"$344,465",Finances et logement,6,154600,154600,154600,154600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Promotion culturelle,Fédération genevoise de coopération,92800,"$8,422,193",Finances et logement,6,92800,92800,92800,92800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Centre Europe - Tiers Monde ,51500,"$1,015,802",Finances et logement,6,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Association Le Comité international de la Croix-Rouge ,51500,"$1,411,995",Finances et logement,6,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Fondation de l'Appel de Genève,30900,"$5,073,948",Finances et logement,6,30900,30900,30900,30900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Fondation du DOCIP,20600,"$2,108,662",Finances et logement,6,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Association Organisation Mondiale contre la Torture,18600,"$3,200,222",Finances et logement,6,18600,18600,18600,18600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Genève Tiers-Monde,15500,"$4,455,501",Finances et logement,6,15500,15500,15500,15500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Agenda 21,"Association Terre des Hommes Suisse, section romande",8900,"$2,017,817",Finances et logement,6,8900,8900,8900,8900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction sociale,"Association Médecins Sans Frontières, section Suisse",8000,"$33,934,703",Finances et logement,6,8000,8000,8000,8000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Fondation DiDé (Dignité en Détention),5200,"$6,348,009",Finances et logement,6,5200,5200,5200,5200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Service International pour les Droits de l'Homme,4100,"$2,976,534",Finances et logement,6,4100,4100,4100,4100,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Ecoles et institutions pour l'enfance,Association Cap Vert-Genève,2000,"$3,306,069",Finances et logement,6,2000,2000,2000,2000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Relations extérieures,DGS - TRIAL,100000,"$6,546,690",Finances et logement,6,100000,100000,100000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,2
Service culturel,Association internationale maires francophones ,50000,"$2,649,211",Finances et logement,6,50000,50000,50000,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
Service des sports,CAGI,50000,"$2,809,971",Finances et logement,6,50000,50000,0,0,"<font size=""4"" style=""color:#7797a3"">▲</font> ",3,3
