mandataire2,mandataire,lease_rsf,annual_rent,state_category,type1,budget2014,budget2014,budget2013,budget2012,evol,rent_prsf,remaining_term_years
Ecoles et institutions pour l'enfance,Association Le Racard,476800,"$2,045,193",Cohésion sociale et solidarité,2,476800,476800,476800,476800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Aspasie,440200,"$2,028,905",Cohésion sociale et solidarité,2,440200,440200,440200,440200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,"Fondation ""Au Coeur des Grottes""",360800,"$3,782,806",Cohésion sociale et solidarité,2,360800,360800,360800,360800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Association usagers Bains des Pâquis,245000,"$1,952,807",Cohésion sociale et solidarité,2,245000,245000,245000,245000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Université Ouvrière de Genève,240400,"$3,063,457",Cohésion sociale et solidarité,2,240400,240400,240400,240400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Le Trialogue,214900,"$2,376,487",Cohésion sociale et solidarité,2,214900,214900,214900,214900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Centre de Contact Suisses-Immigrés,181400,"$3,171,168",Cohésion sociale et solidarité,2,181400,181400,181400,181400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Centre Protestant de Vacances,175300,"$1,541,728",Cohésion sociale et solidarité,2,175300,175300,175300,175300,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction sociale,Association centre F-Information,165000,"$2,896,699",Cohésion sociale et solidarité,2,165000,165000,165000,165000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,AVIVO-Ass.de défense et de détente de tous les retraités,159800,"$3,269,019",Cohésion sociale et solidarité,2,159800,159800,159800,159800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Ecoles et institutions pour l'enfance,ADC - Association de Défense des Chômeurs,150000,"$1,443,189",Cohésion sociale et solidarité,2,150000,150000,150000,150000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Association Université Populaire du Canton de Genève,150000,"$4,350,595",Cohésion sociale et solidarité,2,150000,150000,150000,150000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association des Unions Chrétiennes de Genève,142500,"$7,098,961",Cohésion sociale et solidarité,2,142500,142500,142500,142500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association La Coulou,139200,"$15,786,789",Cohésion sociale et solidarité,2,139200,139200,139200,139200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Lestime,128900,"$962,713",Cohésion sociale et solidarité,2,128900,128900,128900,128900,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Muséum d'histoire naturelle,Restaurants scolaires participation VGE repas impayés,100000,"$3,240,622",Cohésion sociale et solidarité,2,100000,100000,100000,100000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction sociale,Association Club en fauteuil roulant Genève,99400,"$1,289,475",Cohésion sociale et solidarité,2,99400,99400,99400,99400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Agenda 21,Association centre genevois du volontariat,96200,"$2,005,676",Cohésion sociale et solidarité,2,96200,96200,96200,96200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Voie F,90000,"$3,244,267",Cohésion sociale et solidarité,2,90000,90000,90000,90000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,Villa Dutoit,87600,"$1,822,439",Cohésion sociale et solidarité,2,87600,87600,87600,87600,"<font size=""4"" style=""color:#fdae61"">► </font> 0 %",2,2
Service des sports,Association 360,86700,"$1,678,480",Cohésion sociale et solidarité,2,86700,86700,86700,86700,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association du Scoutisme Genevois,83500,"$2,440,874",Cohésion sociale et solidarité,2,83500,83500,83500,83500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Plate-Forme Associations d'Aînés Genève,75000,"$2,199,350",Cohésion sociale et solidarité,2,75000,75000,75000,75000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Insieme,74200,"$2,277,715",Cohésion sociale et solidarité,2,74200,74200,74200,74200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Association Université populaire albanaise,67000,"$2,393,380",Cohésion sociale et solidarité,2,67000,67000,67000,67000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Salle de spectacle des Maisons de quartier,60000,"$3,101,367",Cohésion sociale et solidarité,2,60000,60000,60000,60000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Association Camarada,52800,"$3,656,281",Cohésion sociale et solidarité,2,52800,52800,52800,52800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction sociale,Association Collectif de soutien aux sans-papiers de Genève,51500,"$1,275,600",Cohésion sociale et solidarité,2,51500,51500,51500,51500,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Forum des démocraties participatives,50000,"$2,076,696",Cohésion sociale et solidarité,2,50000,50000,50000,50000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction cohésion sociale et solidarité,Mouvement Populaire des Familles,50000,"$3,475,026",Cohésion sociale et solidarité,2,50000,50000,50000,50000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Vacances Nouvelles,46400,"$1,911,494",Cohésion sociale et solidarité,2,46400,46400,46400,46400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Aménagement urbain et mobilité,Association Caritas-Jeunesse,41800,"$2,636,996",Cohésion sociale et solidarité,2,41800,41800,41800,41800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,GLAJ-Groupe de Liaison des Associations de Jeunesse,41200,"$6,161,427",Cohésion sociale et solidarité,2,41200,41200,41200,41200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association genevoise des malentendants,27800,"$2,410,024",Cohésion sociale et solidarité,2,27800,27800,27800,27800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Grpt cant.genevois des ass.de parents d'élèves des écoles primaires et enfantines (GAPP) - Pédibus,25800,"$1,279,015",Cohésion sociale et solidarité,2,25800,25800,25800,25800,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Délégation Généve Solidaire,Fédération genevoise des associations LGBT,25000,"$2,313,850",Cohésion sociale et solidarité,2,25000,25000,25000,25000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Conseil administratif,Fêtes dans les écoles,25000,"$2,153,014",Cohésion sociale et solidarité,2,25000,25000,25000,25000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Ass.Groupe de coordination pour l'accueil et l'hébergement des jeunes à Genève ,23200,"$396,537",Cohésion sociale et solidarité,2,23200,23200,23200,23200,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service culturel,Association Atelier X,20600,"$2,669,400",Cohésion sociale et solidarité,2,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Direction sociale,Association Colis du cœur,20600,"$3,102,702",Cohésion sociale et solidarité,2,20600,20600,20600,20600,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Service des sports,La Carte Blanche,15000,"$4,089,653",Cohésion sociale et solidarité,2,15000,15000,15000,15000,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
Art contemporain,Association ICVolontaires-Suisse,12400,"$3,145,048",Cohésion sociale et solidarité,2,12400,12400,12400,12400,"<font size=""4"" style=""color:#fdae61"">► </font> stable",2,2
